"OFFENSE","NO. OF OFFENDERS","% of TOTAL OFFENDERS"
"Drug","8,864","38.41%"
"Non-Violent","9,577","41.50%"
"Sex","1,018","4.41%"
"Violent","3,616","15.67%"
"TOTAL","23,075","100.00%"
