"","Region I","Region II","Region III","TOTAL"
"Pre-Sentence Investigations","2,374","701","1,880","4,955"
"Post-Sentence Investigations","2,741","3,011","3,457","9,209"
"Pre-Release Investigations","1,429","707","1,339","3,475"
"Compact Investigations","791","645","832","2,268"
"Restoration of Rights Investigations","40","0","0","40"
"Residence & Employment Investigations","3,860","5,101","5,311","14,272"
