"Month","Parolees","Probationers","Total"
"JUL","567","1,773","2,340"
"AUG","574","1,790","2,364"
"SEP","576","1,794","2,370"
"OCT","564","1,799","2,363"
"NOV","559","1,791","2,350"
"DEC","570","1,805","2,375"
"JAN","566","1,809","2,375"
"FEB","570","1,826","2,396"
"MAR","571","1,811","2,382"
"APR","572","1,825","2,397"
"MAY","578","1,815","2,393"
"JUN","575","1,820","2,395"
