"FEMALES","","","","","",""
"CLASS","BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"Y","0","0","0","0","0",".00%"
"0","0","1","0","0","1",".04%"
"1","597","560","7","4","1,168","49.81%"
"2","251","262","4","1","518","22.09%"
"3","122","89","1","1","213","9.08%"
"4","27","26","0","0","53","2.26%"
"5","5","3","0","0","8",".34%"
"Verification Pending","168","213","1","1","383","16.33%"
"Unknown Class/Race/Sex","0","0","0","1","1",".04%"
"TOTAL","1,170","1,154","13","8","2,345","100.00%"
