"FEMALES - PERCENTAGE","",""
"CLASS","FEMALE","PERCENT"
"A","2",".09%"
"B","0",".00%"
"C","37","1.58%"
"D","7",".30%"
"DR","1",".04%"
"MOA","400","17.06%"
"MOB","553","23.58%"
"MORA","652","27.80%"
"MORB","202","8.61%"
"Unclassified","491","20.94%"
"TOTAL","2,345","100.00%"
