"MALES","","","","","",""
"SENTENCE LENGTH","BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"Less than 1 year","49","35","1","0","85",".39%"
"1-2 Years","910","588","9","7","1,514","6.89%"
"3-5 Years","3,290","1,787","28","23","5,128","23.32%"
"6-10 Years","4,380","1,772","32","19","6,203","28.21%"
"11-20 Years","2,913","956","30","7","3,906","17.77%"
"21-30 Years","754","216","7","2","979","4.45%"
"Greater Than 30 Years","522","132","2","1","657","2.99%"
"Life","1,304","477","4","4","1,789","8.14%"
"Death","37","31","0","1","69",".31%"
"Verification Pending","1,012","610","20","13","1,655","7.53%"
"TOTAL","15,171","6,604","133","77","21,985","100.00%"
