"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"5","1","0","0","12",".75%"
"0","0","0","0","36","2.25%"
"1","0","1","0","29","1.81%"
"0","0","0","0","1",".06%"
"1","0","0","0","8",".50%"
"61","18","0","0","1,175","73.44%"
"1","0","0","0","29","1.81%"
"2","3","0","0","74","4.63%"
"5","2","0","0","26","1.63%"
"1","0","0","0","10",".63%"
"0","0","0","0","6",".38%"
"1","0","0","0","2",".13%"
"1","0","0","0","10",".63%"
"0","0","0","0","4",".25%"
"0","1","0","0","53","3.31%"
"5","4","0","0","96","6.00%"
"1","0","0","0","4",".25%"
"3","1","0","0","25","1.56%"
"88","30","1","0","1,600","100.00%"
