"FEMALES","","","","","",""
"CLASS","BLACK","WHITE","HISPANIC","OTHER","UNKNOWN","TOTAL"
"A","0","2","0","0","0","2"
"B","0","0","0","0","0","0"
"C","24","13","0","0","0","37"
"D","6","1","0","0","0","7"
"DR","0","1","0","0","0","1"
"MOA","200","193","6","1","0","400"
"MOB","274","271","4","4","0","553"
"MORA","317","333","1","1","0","652"
"MORB","139","63","0","0","0","202"
"Unclassified","210","277","2","0","2","491"
"TOTAL","1,170","1,154","13","6","2","2,345"
