"MALES","","","","","",""
"CLASS","BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"Y","10","4","0","0","14",".06%"
"0","11","3","0","0","14",".06%"
"1","11,466","4,387","100","44","15,997","72.77%"
"2","1,470","800","11","4","2,285","10.39%"
"3","1,023","486","6","5","1,520","6.91%"
"4","214","185","0","0","399","1.81%"
"5","57","44","0","0","101",".46%"
"Verification Pending","919","695","16","2","1,632","7.42%"
"Unknown Class/Race/Sex","0","0","0","22","22",".10%"
"TOTAL","15,170","6,604","133","77","21,984","100.00%"
