"MALES","","","",""
"HOMICIDE/MANSLAUGHTER","BLACK","WHITE","HISPANIC","OTHER"
"Capital Murder","125","49","0","2"
"Homicide","927","358","2","2"
"Homicide - Police Officer","1","0","0","0"
"Manslaughter","604","171","9","4"
"Vehicular Homicide","7","10","0","0"
"Vehicular Manslaughter","0","1","0","0"
"TOTAL","1,664","589","11","8"
