"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"1","0","0","0","4",".10%"
"0","0","0","0","3",".07%"
"0","0","0","0","3",".07%"
"73","20","0","0","256","6.35%"
"6","3","0","0","84","2.08%"
"1","0","0","0","4",".10%"
"0","0","0","0","1",".02%"
"0","0","0","0","1",".02%"
"0","0","0","0","1",".02%"
"0","0","0","0","1",".02%"
"0","0","0","0","1",".02%"
"0","1","0","0","5",".12%"
"0","0","0","0","5",".12%"
"0","0","0","0","1",".02%"
"113","105","0","0","571","14.17%"
"2","7","0","0","145","3.60%"
"0","1","0","0","12",".30%"
"9","9","0","0","42","1.04%"
"375","448","1","3","4,029","100.00%"
