"","PROB/ PAROLE","HOUSE 
ARREST","PRIVATES","REGIONALS","RESTITUTION 
CENTERS",""
"","10,978,470","590,856","1,554,064","1,589,131","105,133","TOTALS"
"","30,078","1,619","4,258","4,354","288","22,500"
"","$19,929,330","$5,550,479","$79,144,856","$63,436,324","$3,003,167",""
"","","","$69,719,564","","",""
"","$1.82","$9.39","$50.93","$39.92","$28.57","$360,302,818"
"","","","$44.86","","",""
