"Violation","Jul-03","Aug-03","Sep-03","Oct-03","Nov-03","Dec-03","Jan-04"
"Escape - Return","18","13","16","10","7","15","11"
"New Prisoner","398","514","446","418","283","233","373"
"Parole Revoked - Alleged","0","0","0","2","5","10","3"
"Parole Revoked - New","1","5","0","3","0","1","3"
"Parole Revoked - Technical","6","10","11","12","5","5","5"
"Parole Violation","5","8","2","8","3","3","1"
"Post Release Probation","0","0","0","0","0","0","0"
"Probation Revoked","149","224","189","201","130","86","264"
"Return - ERS","17","34","30","41","34","31","33"
"Return - House Arrest","50","40","47","47","43","37","36"
"Returned Parole","0","0","0","1","2","4","8"
"Sentenced to Probation","0","0","0","0","0","3","0"
"TOTAL","644","848","741","743","512","428","737"
