"Major Offense Categories","Black Males","White Males","Hispanic Males","Other Males","Data Unavailable","Black Females","White Females","Hispanic Females","Other Females","Total","Percent"
"POSSESSION OF DRUGS","965","675","28","5","0","79","151","5","0","1,908","62.21%"
"SALE OF DRUGS","864","171","5","2","0","81","34","1","1","1,159","37.79%"
"TOTAL","1,829","846","33","7","0","160","185","6","1","3,067","100.00%"
