"OFFENSE","NO. OF OFFENDERS","% of TOTAL OFFENDERS"
"Drug","4,626","66.39%"
"Property","1,714","24.60%"
"Violent","582","8.35%"
"Sex","46",".66%"
"TOTAL","6,968","100.00%"
