"","","","County of Conviction","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFENDERS","%"
"","Alcorn","157","4.75","Montgomery","38","1.15"
"","Attala","59","1.78","Panola","123","3.72"
"","Benton","14",".42","Pontotoc","120","3.63"
"","Bolivar","104","3.14","Prentiss","106","3.20"
"","Calhoun","63","1.90","Quitman","21",".63"
"","Carroll","20",".60","Sunflower","89","2.69"
"","Chickasaw","86","2.60","Tallahatchie","51","1.54"
"Northern","Choctaw","25",".76","Tate","102","3.08"
"Counties","","","","","",""
"","Coahoma","105","3.17","Tippah","48","1.45"
"","Desoto","449","13.57","Tishomingo","44","1.33"
"","Grenada","106","3.20","Tunica","87","2.63"
"","Itawamba","77","2.33","Union","118","3.57"
"","Lafayette","98","2.96","Washington","116","3.51"
"","Lee","387","11.70","Webster","19",".57"
"","Leflore","109","3.30","Winston","45","1.36"
"","Marshall","157","4.75","Yalobusha","34","1.02"
"","Monroe","131","3.96","TOTAL","3,308","33.33"
