"MALE","","","","",""
"OFFENSES","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"Aggravated Assault","279","101","1","3","384"
"Burglary","1059","602","16","5","1,682"
"Homicide","41","14","0","0","55"
"Manslaughter","104","23","4","0","131"
"Property","1,054","947","13","13","2,027"
"Possession of Drugs","1,204","873","38","8","2,123"
"Robbery","400","79","2","1","482"
"Sale of Drugs","1,084","234","2","3","1,323"
"Sex Offense","167","166","4","2","339"
"Violent","114","113","3","1","231"
"TOTAL","5,506","3,152","83","36","8,777"
