"OFFENSES","MALE","FEMALE","TOTAL","%"
"Aggravated Assault","384","33","417","4.20"
"Burglary","1,682","105","1,787","18.01"
"Homicide","55","3","58",".58"
"Manslaughter","131","31","162","1.63"
"Property","2,027","456","2,518","25.02"
"Possession of Drugs","2,123","303","2,426","24.44"
"Robbery","482","29","511","5.15"
"Sale of Drugs","1,323","144","1,467","14.78"
"Sex Offense","339","5","344","3.47"
"Violent","231","39","270","2.72"
"TOTAL","8,777","1,148","9,925","100.00"
