"offense","count","percent_of_total"
"Drug","10140","38.01%"
"Property","12309","46.14%"
"Aggravated Assualt","1070","4.01%"
"Violent","2225","8.34%"
"Sex","932","3.49%"
"TOTAL","26676","100.00%"
