"offense","count","percent_of_total"
"Drug","9284","38.33%"
"Property","10741","44.34%"
"Violent","2277","9.40%"
"Sex","939","3.88%"
"Aggravated Assault","982","4.05%"
"TOTAL","24223","100.00%"
