"offense","count","percent_of_total"
"Drug","11576","36.58%"
"Property","15155","47.90%"
"Aggravated Assualt","1296","4.10%"
"Violent","2345","7.41%"
"Sex","1270","4.01%"
"TOTAL","31642","100.00%"
