"offense","count","percent_of_total"
"Drug","11521","36.78%"
"Property","14918","47.62%"
"Aggravated Assualt","1290","4.12%"
"Violent","2341","7.47%"
"Sex","1255","4.01%"
"TOTAL","31325","100.00%"
