"offense","count","percent_of_total"
"Drug","13096","36.86%"
"Property","17076","48.06%"
"Aggravated Assualt","1387","3.90%"
"Violent","2775","7.81%"
"Sex","1193","3.36%"
"TOTAL","35527","100.00%"
