"offense","count","percent_of_total"
"Drug","13136","37.06%"
"Property","17310","48.83%"
"Aggravated Assualt","1411","3.98%"
"Violent","2390","6.74%"
"Sex","1199","3.38%"
"TOTAL","35446","100.00%"
