"offense","count","percent_of_total"
"Drug","9,938","38.24%"
"Property","11,886","45.73%"
"Aggravated Assualt","1,050","4.04%"
"Violent","2,202","8.47%"
"Sex","914","3.52%"
"TOTAL","25,990","100.00%"
