"offense","count","percent_of_total"
"Drug","9,371","38.27%"
"Property","10,945","44.69%"
"Violent","2,247","9.18%"
"Sex","936","3.82%"
"Aggravated Assault","990","4.04%"
"TOTAL","24,489","100.00%"
