"offense","count","percent_of_total"
"Drug","10959","37.25%"
"Property","14012","47.63%"
"Aggravated Assualt","1221","4.15%"
"Violent","2094","7.12%"
"Sex","1135","3.86%"
"TOTAL","29421","100.00%"
