"offense","count","percent_of_total"
"Drug","12467","36.46%"
"Property","16386","47.92%"
"Aggravated Assualt","1346","3.94%"
"Violent","2676","7.83%"
"Sex","1317","3.85%"
"TOTAL","34192","100.00%"
