"offense","count","percent_of_total"
"Drug","10396","37.96%"
"Property","12672","46.27%"
"Aggravated Assualt","1107","4.04%"
"Violent","2256","8.24%"
"Sex","956","3.49%"
"TOTAL","27387","100.00%"
