"offense","count","percent_of_total"
"Drug","9847","38.19%"
"Property","11747","45.56%"
"Aggravated Assualt","1054","4.09%"
"Violent","2214","8.59%"
"Sex","920","3.57%"
"TOTAL","25782","100.00%"
