"offense","count","percent_of_total"
"Drug","12,032","36.34%"
"Property","15,867","47.93%"
"Aggravated Assualt","1,327","4.01%"
"Violent","2,595","7.84%"
"Sex","1,285","3.88%"
"TOTAL","33,106","100.00%"
