"OFFENSE","NO. OF OFFENDERS","% of TOTAL OFFENDERS"
"Drug","9,263","38.20%"
"Non-Violent","10,087","41.59%"
"Sex","1,062","4.38%"
"Violent","3,839","15.83%"
"TOTAL","24,251","100.00%"
