"offense","count","percent_of_total"
"Drug","11,130","37.13%"
"Property","14,223","47.45%"
"Aggravated Assualt","1,238","4.13%"
"Violent","2,188","7.30%"
"Sex","1,197","3.99%"
"TOTAL","29,976","100.00%"
