"offense","count","percent_of_total"
"Drug","11,605","36.49%"
"Property","15,187","47.76%"
"Aggravated Assualt","1,329","4.18%"
"Violent","2,377","7.47%"
"Sex","1,302","4.09%"
"TOTAL","31,800","100.00%"
