"offense","count","percent_of_total"
"Drug","11208","37.23%"
"Property","14326","47.58%"
"Aggravated Assualt","1229","4.08%"
"Violent","2163","7.18%"
"Sex","1181","3.92%"
"TOTAL","30107","100.00%"
