"offense","count","percent_of_total"
"Drug","11141","37.22%"
"Property","14217","47.49%"
"Aggravated Assualt","1226","4.10%"
"Violent","2178","7.28%"
"Sex","1174","3.92%"
"TOTAL","29936","100.00%"
