"offense","count","percent_of_total"
"Drug","11354","36.77%"
"Property","14728","47.69%"
"Aggravated Assualt","1274","4.13%"
"Violent","2294","7.43%"
"Sex","1231","3.99%"
"TOTAL","30881","100.00%"
