"offense","count","percent_of_total"
"Drug","9597","38.64%"
"Property","11383","45.84%"
"Aggravated Assualt","1025","4.13%"
"Violent","1911","7.70%"
"Sex","918","3.70%"
"TOTAL","24834","100.00%"
