"OFFENSE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Drug","11,431","36.98%"
"Property","14,679","47.48%"
"Aggravated Assualt","1,269","4.10%"
"Violent","2,289","7.40%"
"Sex","1,246","4.03%"
"TOTAL","30,914","100.00%"
