"offense","count","percent_of_total"
"Drug","11143","37.32%"
"Property","14174","47.48%"
"Aggravated Assualt","1217","4.08%"
"Violent","2153","7.21%"
"Sex","1167","3.91%"
"TOTAL","29854","100.00%"
