"offense","count","percent_of_total"
"Drug","12544","37.04%"
"Property","16202","47.84%"
"Aggravated Assualt","1319","3.89%"
"Violent","2677","7.90%"
"Sex","1127","3.33%"
"TOTAL","33869","100.00%"
