"offense","count","percent_of_total"
"Drug","12492","37.03%"
"Property","16109","47.75%"
"Aggravated Assualt","1329","3.94%"
"Violent","2668","7.91%"
"Sex","1137","3.37%"
"TOTAL","33735","100.00%"
