"offense","count","percent_of_total"
"Drug","11028","37.17%"
"Property","14145","47.68%"
"Aggravated Assualt","1231","4.15%"
"Violent","2129","7.18%"
"Sex","1135","3.83%"
"TOTAL","29668","100.00%"
