"offense","count","percent_of_total"
"Drug","9370","38.34%"
"Property","10883","44.53%"
"Violent","2265","9.27%"
"Sex","941","3.85%"
"Aggravated Assault","981","4.01%"
"TOTAL","24440","100.00%"
