"offense","count","percent_of_total"
"Drug","11,382","37.51%"
"Property","14,280","47.06%"
"Aggravated Assualt","1,196","3.94%"
"Violent","2,437","8.03%"
"Sex","1,050","3.46%"
"TOTAL","30,345","100.00%"
