"offense","count","percent_of_total"
"Drug","12637","36.98%"
"Property","16366","47.90%"
"Aggravated Assualt","1334","3.90%"
"Violent","2685","7.86%"
"Sex","1146","3.35%"
"TOTAL","34168","100.00%"
