"offense","count","percent_of_total"
"Drug","9,154","38.41%"
"Property","10,542","44.24%"
"Violent","2,249","9.44%"
"Sex","927","3.89%"
"Aggravated Assault","959","4.02%"
"TOTAL","23,831","100.00%"
