"offense","count","percent_of_total"
"Drug","12,676","36.69%"
"Property","16,795","48.61%"
"Aggravated Assualt","1,392","4.03%"
"Violent","2,344","6.78%"
"Sex","1,344","3.89%"
"TOTAL","34,551","100.00%"
