"offense","count","percent_of_total"
"Drug","9606","38.45%"
"Property","11261","45.08%"
"Aggravated Assualt","1001","4.01%"
"Violent","2208","8.84%"
"Sex","905","3.62%"
"TOTAL","24981","100.00%"
