"offense","count","percent_of_total"
"Drug","11399","37.04%"
"Property","14584","47.39%"
"Aggravated Assualt","1277","4.15%"
"Violent","2274","7.39%"
"Sex","1243","4.04%"
"TOTAL","30777","100.00%"
