"offense","count","percent_of_total"
"Drug","10700","37.59%"
"Property","13295","46.71%"
"Aggravated Assualt","1150","4.04%"
"Violent","2338","8.21%"
"Sex","980","3.44%"
"TOTAL","28463","100.00%"
