"offense","count","percent_of_total"
"Drug","11,320","37.01%"
"Property","14,520","47.47%"
"Aggravated Assualt","1,278","4.18%"
"Violent","2,249","7.35%"
"Sex","1,218","3.98%"
"TOTAL","30,585","100.00%"
