"offense","count","percent_of_total"
"Drug","9377","38.27%"
"Property","10969","44.76%"
"Violent","2236","9.12%"
"Sex","928","3.79%"
"Aggravated Assault","995","4.06%"
"TOTAL","24505","100.00%"
