"offense","count","percent_of_total"
"Drug","12296","37.19%"
"Property","15703","47.50%"
"Aggravated Assualt","1298","3.93%"
"Violent","2638","7.98%"
"Sex","1125","3.40%"
"TOTAL","33060","100.00%"
