"offense","count","percent_of_total"
"Drug","9,952","38.32%"
"Property","11,833","45.56%"
"Aggravated Assualt","1,062","4.09%"
"Violent","2,213","8.52%"
"Sex","912","3.51%"
"TOTAL","25,972","100.00%"
