"offense","count","percent_of_total"
"Drug","12,984","36.84%"
"Property","16,926","48.03%"
"Aggravated Assualt","1,382","3.92%"
"Violent","2,757","7.82%"
"Sex","1,192","3.38%"
"TOTAL","35,241","100.00%"
