"offense","count","percent_of_total"
"Drug","9,374","38.36%"
"Property","10,982","44.95%"
"Violent","2,185","8.94%"
"Sex","911","3.73%"
"Aggravated Assault","982","4.02%"
"TOTAL","24,434","100.00%"
