"offense","count","percent_of_total"
"Drug","11355","37.01%"
"Property","14618","47.64%"
"Aggravated Assualt","1262","4.11%"
"Violent","2234","7.28%"
"Sex","1215","3.96%"
"TOTAL","30684","100.00%"
