"offense","count","percent_of_total"
"Drug","10802","37.56%"
"Property","13486","46.90%"
"Aggravated Assualt","1158","4.03%"
"Violent","2325","8.09%"
"Sex","985","3.43%"
"TOTAL","28756","100.00%"
