"offense","count","percent_of_total"
"Drug","9,288","38.26%"
"Property","10,920","44.98%"
"Aggravated Assualt","980","4.04%"
"Violent","2,181","8.98%"
"Sex","906","3.73%"
"TOTAL","24,275","100.00%"
