"offense","count","percent_of_total"
"Drug","11359","36.93%"
"Property","14621","47.53%"
"Aggravated Assualt","1264","4.11%"
"Violent","2283","7.42%"
"Sex","1235","4.01%"
"TOTAL","30762","100.00%"
