"offense","count","percent_of_total"
"Drug","11649","35.88%"
"Property","14071","43.34%"
"Aggravated Assualt","1360","4.19%"
"Violent","4042","12.45%"
"Sex","1342","4.13%"
"TOTAL","32464","100.00%"
