"offense","count","percent_of_total"
"Drug","11110","37.22%"
"Property","14164","47.45%"
"Aggravated Assualt","1229","4.12%"
"Violent","2172","7.28%"
"Sex","1178","3.95%"
"TOTAL","29853","100.00%"
