"offense","count","percent_of_total"
"Drug","10087","38.13%"
"Property","12161","45.98%"
"Aggravated Assualt","1067","4.03%"
"Violent","2221","8.40%"
"Sex","915","3.46%"
"TOTAL","26451","100.00%"
